"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Region";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source"
"Balanus glandula";"Balanus glandula Darwin, 1854";"Balanidae";"Sessilia";"Hexanauplia";"Arthropoda";"GBIF";"Balanus glandula";"Belgium";"";"";2015;"2015";"AquaNIS (2020)"
"Pseudodiaptomus marinus";"Pseudodiaptomus marinus Sato, 1913";"Pseudodiaptomidae";"Calanoida";"Hexanauplia";"Arthropoda";"GBIF";"Pseudodiaptomus marinus";"Belgium";"";"";2015;"2015";"AquaNIS (2020)"
"Gobiosoma bosc";"Gobiosoma bosc (Lacep�de, 1800)";"Gobiidae";"Perciformes";"Actinopterygii";"Chordata";"GBIF";"Gobiosoma bosc";"Belgium";"";"";2018;"2018";"AquaNIS (2020)"
"Neogobius melanostomus";"Neogobius melanostomus (Pallas, 1814)";"Gobiidae";"Perciformes";"Actinopterygii";"Chordata";"GBIF";"Neogobius melanostomus";"Belgium";"";"established";2010;"2010";"FishBase"
"Oncorhynchus clarkii";"Oncorhynchus clarkii (Richardson, 1836)";"Salmonidae";"Salmoniformes";"Actinopterygii";"Chordata";"GBIF";"Oncorhynchus clarki";"Belgium";"";"";2010;"2010";"Zierits et al. (2016)"
"Aproceros leucopoda";"Aproceros leucopoda Takeuchi, 1939";"Argidae";"Hymenoptera";"Insecta";"Arthropoda";"GBIF";"Aproceros leucopoda Takeuchi, 1939";"Belgium";"";"alien";2013;"2013";"Roques et al. (2010); Roques et al. (2016)"
"Contarinia pseudotsugae";"Contarinia pseudotsugae Condrashoff, 1961";"Cecidomyiidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Contarinia pseudotsugae Condrashoff";"Belgium";"";"";2015;"2015";"Roques et al. (2020)"
"Cydalima perspectalis";"Cydalima perspectalis (Walker, 1859)";"Crambidae";"Lepidoptera";"Insecta";"Arthropoda";"GBIF";"Cydalima perspectalis (Walker, 1859)";"Belgium";"";"alien";2010;"2010";"Roques et al. (2010); Roques et al. (2016)"
"Drosophila suzukii";"Drosophila suzukii (Matsumura, 1931)";"Drosophilidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Drosophila suzukii";"Belgium";"";"";2011;"2011";"CABI ISC"
"Vespa velutina";"Vespa velutina Lepeletier, 1836";"Vespidae";"Hymenoptera";"Insecta";"Arthropoda";"GBIF";"Vespa velutina nigrithorax du Buysson, 1905";"Belgium";"";"established";2011;"2011";"DAISIE"
"Zyginella pulchra";"Zyginella pulchra Low, 1885";"Cicadellidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Zyginella pulchra P.L�w, 1885";"Belgium";"";"";2016;"2016";"Verloove (2006)"
"Castor canadensis";"Castor canadensis Kuhl, 1820";"Castoridae";"Rodentia";"Mammalia";"Chordata";"GBIF";"Castor canadensis Kuhl 1820";"Belgium";"";"casual";2010;"2010";"Piero Genovesi"
"Abies grandis";"Abies grandis";"Pinaceae";"Pinales";"Pinopsida";"Tracheophyta";"TPL";"Abies grandis (Dougl. ex D. Don) Lindl.";"Belgium";"";"";2019;"2019";"Verloove (2006)"
"Abies homolepis";"Abies homolepis";"Pinaceae";"Pinales";"Pinopsida";"Tracheophyta";"TPL";"Abies homolepis Siebold & Zucc.";"Belgium";"";"";2016;"2016";"Verloove (2006)"
"Abies nordmanniana";"Abies nordmanniana (Steven) Spach";"Pinaceae";"Pinales";"Pinopsida";"Tracheophyta";"";"Abies nordmanniana";"Belgium";"";"casual";2016;"2016";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Acanthus spinosus";"Acanthus spinosus L.";"Acanthaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"";"Acanthus spinosus";"Belgium";"";"casual";2016;"2016";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Acer saccharinum";"Acer saccharinum";"Sapindaceae";"Sapindales";"Magnoliopsida";"Tracheophyta";"TPL";"Acer saccharinum L.";"Belgium";"";"";2012;"<2012";"Verloove (2006)"
